2025-06-24 11:27:22,498 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:22', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_112720_189032.mp4'}
2025-06-24 11:27:26,483 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:26', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_112718_007305.mp4'}
2025-06-24 11:27:33,644 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:33', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112730_831655.mp4'}
2025-06-24 11:27:33,837 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:33', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_112723_694775.mp4'}
2025-06-24 11:27:58,401 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:27:58', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_112755_878519.mp4'}
2025-06-24 11:28:07,118 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:28:07', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_112804_311857.mp4'}
2025-06-24 11:28:19,727 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:28:19', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_112806_890828.mp4'}
2025-06-24 11:31:25,653 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:31:25', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113124_156778.mp4'}
2025-06-24 11:31:27,539 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:31:27', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113125_680455.mp4'}
2025-06-24 11:31:28,352 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:31:28', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113126_355703.mp4'}
2025-06-24 11:31:47,417 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:31:47', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113145_846454.mp4'}
2025-06-24 11:31:50,970 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:31:50', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113149_274202.mp4'}
2025-06-24 11:32:12,156 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:12', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113209_213858.mp4'}
2025-06-24 11:32:12,421 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:12', 'cam': 'cam2_thermal', 'label': 'person', 'clip': '/clips/cam2_thermal/20250624_113205_205768.mp4'}
2025-06-24 11:32:17,031 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:17', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113214_805108.mp4'}
2025-06-24 11:32:18,312 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:18', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_113208_387183.mp4'}
2025-06-24 11:32:21,456 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:21', 'cam': 'cam2_rgb', 'label': 'person', 'clip': '/clips/cam2_rgb/20250624_113213_186361.mp4'}
2025-06-24 11:32:31,300 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:31', 'cam': 'cam1_thermal', 'label': 'person', 'clip': '/clips/cam1_thermal/20250624_113223_837871.mp4'}
2025-06-24 11:32:37,094 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:37', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_113228_113278.mp4'}
2025-06-24 11:32:38,950 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:38', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113236_879864.mp4'}
2025-06-24 11:32:43,904 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:43', 'cam': 'cam1_rgb', 'label': 'person', 'clip': '/clips/cam1_rgb/20250624_113234_770260.mp4'}
2025-06-24 11:32:45,932 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:32:45', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113244_033593.mp4'}
2025-06-24 11:33:06,971 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:06', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113304_980698.mp4'}
2025-06-24 11:33:15,571 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:15', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113313_507656.mp4'}
2025-06-24 11:33:34,030 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:34', 'cam': 'cam3_rgb', 'label': 'animal', 'clip': '/clips/cam3_rgb/20250624_113325_073376.mp4'}
2025-06-24 11:33:39,748 - LOG ±â·ÏµÊ: {'time': '2025-06-24 11:33:39', 'cam': 'cam3_thermal', 'label': 'animal', 'clip': '/clips/cam3_thermal/20250624_113337_259150.mp4'}
